  chng%    pricein  dateout        cumpnl  ticker          pnl    mae%    ref    nbars    priceout  dir      mfe%  datein         value    size    pnl/bar    pnl%
-------  ---------  ----------  ---------  --------  ---------  ------  -----  -------  ----------  -----  ------  ----------  --------  ------  ---------  ------
  -0.47    110.286  2018-10-12   -66.5663  DIS        -66.5663   -1.94    367        1     109.767  long     0.68  2018-10-11   9925.76      90     -66.57   -0.67
  -5       126.12   2020-02-27  -571.373   DIS       -504.807    -6.5     368        1     119.81   long     1.78  2020-02-26   9711.24      77    -504.81   -5.35
   9.28     84.49   2020-03-24   263.914   DIS        835.287    -4.02    369        1      92.33   long    17.37  2020-03-23   9209.41     109     835.29    8.14
   4.4      96      2020-03-31   690.435   DIS        426.521    -4.06    370        1     100.22   long     7.46  2020-03-30  10176        106     426.52    3.99
   0.75     93.5    2020-04-02   746.787   DIS         56.3527   -1.01    371        1      94.2    long     4.17  2020-04-01  10285        110      56.35    0.52
   7.35    100.53   2020-04-09  1508.03    DIS        761.244    -1.87    372        1     107.92   long     7.42  2020-04-08  10656.2      106     761.24    6.61
   0.92    116.19   2020-06-01  1590.01    DIS         81.9819   -1.78    373        1     117.26   long     2.98  2020-05-29  11386.6       98      81.98    0.71
   2.43    114.19   2020-06-23  1846.44    DIS        256.424    -0.95    374        1     116.96   long     2.85  2020-06-22  11533.2      101     256.42    2.16
   1.8     108.99   2020-06-26  2029.14    DIS        182.706    -0.89    375        1     110.95   long     2.31  2020-06-25  11443.9      105     182.71    1.52
   5.55    115.23   2020-07-15  2663.95    DIS        634.803    -0.6     376        1     121.63   long     5.95  2020-07-14  11868.7      103     634.8     5.01
   1.66    190.07   2021-03-01  2847.21    DIS        183.261    -2.43    377        1     193.23   long     3.59  2021-02-26  12544.6       66     183.26    1.43
  -1.14    175.71   2021-07-20  2679.69    DIS       -167.519    -2.02    378        1     173.7    long     1.02  2021-07-19  12475.4       71    -167.52   -1.32
